ID,Response
50883,1
50884,0
50885,1
50886,1
50887,1
50888,1
50889,1
50890,1
50891,1
50892,0
50893,1
50894,1
50895,1
50896,1
50897,1
50898,1
50899,1
50900,1
50901,1
50902,1
50903,1
50904,1
50905,1
50906,1
50907,0
50908,0
50909,1
50910,1
50911,0
50912,1
50913,1
50914,0
50915,1
50916,1
50917,1
50918,1
50919,0
50920,1
50921,1
50922,1
50923,0
50924,1
50925,1
50926,1
50927,1
50928,1
50929,1
50930,1
50931,1
50932,1
50933,0
50934,1
50935,1
50936,0
50937,0
50938,0
50939,1
50940,0
50941,1
50942,1
50943,1
50944,1
50945,1
50946,1
50947,1
50948,1
50949,1
50950,1
50951,1
50952,1
50953,1
50954,1
50955,1
50956,1
50957,1
50958,1
50959,1
50960,1
50961,1
50962,1
50963,1
50964,1
50965,1
50966,0
50967,1
50968,1
50969,1
50970,1
50971,1
50972,1
50973,1
50974,0
50975,1
50976,1
50977,1
50978,1
50979,1
50980,1
50981,1
50982,1
50983,1
50984,1
50985,1
50986,1
50987,0
50988,1
50989,1
50990,1
50991,1
50992,0
50993,1
50994,1
50995,1
50996,1
50997,0
50998,1
50999,1
51000,1
51001,1
51002,0
51003,1
51004,1
51005,1
51006,1
51007,1
51008,1
51009,0
51010,1
51011,0
51012,1
51013,1
51014,1
51015,1
51016,1
51017,1
51018,1
51019,0
51020,1
51021,1
51022,1
51023,1
51024,1
51025,1
51026,1
51027,0
51028,0
51029,1
51030,1
51031,1
51032,1
51033,1
51034,1
51035,1
51036,1
51037,1
51038,1
51039,0
51040,1
51041,1
51042,1
51043,0
51044,1
51045,1
51046,1
51047,1
51048,1
51049,1
51050,1
51051,1
51052,1
51053,1
51054,1
51055,1
51056,1
51057,1
51058,1
51059,0
51060,1
51061,1
51062,1
51063,1
51064,0
51065,1
51066,1
51067,1
51068,1
51069,1
51070,0
51071,1
51072,1
51073,1
51074,1
51075,1
51076,1
51077,1
51078,1
51079,1
51080,1
51081,1
51082,1
51083,1
51084,1
51085,1
51086,0
51087,1
51088,1
51089,1
51090,1
51091,1
51092,1
51093,1
51094,1
51095,0
51096,1
51097,1
51098,1
51099,1
51100,1
51101,1
51102,1
51103,1
51104,1
51105,1
51106,1
51107,1
51108,1
